Name,Rest Wavelength (micron),Strength (10^-17 W/m^2),S_err+,S_err-,Continuum (10^-17 W/m^2/um),C_err+,C_err-,Eqw (micron),E_err+,E_err-
H2 S(7),5.511,86.5397180273873,5.302048931720208,5.934560562732585,446.40420312644994,13.723292863972574,13.457073142005243,0.19351014027604646,0.015762424383056556,0.01569319665416391
H2 S(6),6.109,47.95737702116331,5.839154105337613,6.144469942939693,584.648019609979,12.865222279608588,14.25681250787602,0.08195928918718348,0.010203428715100507,0.0103236183625883
H2 S(5),6.909,117.77218143692306,5.882324760723222,5.802287786686421,707.8819483966777,16.953095346243458,17.78774086300041,0.1665587748930843,0.008188837539561289,0.007953941242638679
Ar II,6.985,171.0387215119629,5.249752728432497,5.487763951270864,718.7973804262994,17.2802218577159,18.109177282703286,0.2379073890699031,0.009631960651199478,0.009094168807746522
NeVI,7.6524,28.626795149189448,25.135947288502955,20.893964741248105,794.9716338667317,18.19269278653576,18.620572306953704,<0.16420393422426782,-,-
H2 S(4),8.026,188.38558626946258,16.016999891350594,14.189131560893742,702.2429327979913,15.776204824576894,16.223554443038438,0.2680655174321417,0.0255010943397192,0.02255470367043358
AR III,8.991,0.9238435680674147,1.464044192894709,0.7014956866057609,86.17572470228919,7.761974868060264,5.874221278118796,<0.09181294061440629,-,-
H2 S(3),9.665,123.54064277368383,3.4316544524930634,3.567706215299083,43.680450969627444,1.0013025677456469,1.0119012642942167,2.8279668478100084,0.10557246692889377,0.10436643456275618
S IV,10.511,20.437387777719007,6.361826535430783,5.2430724271467035,59.92306427436345,1.4918444856556405,1.52685383817402,0.341305670428387,0.10278121271991342,0.0866052854810071
H2 S(2),12.278,138.4912251221998,5.960578780697574,5.840359932043299,645.1649140841748,8.202010249500745,7.682178465201446,0.21468254875852047,0.010294257290230868,0.009872891037534526
Ne II,12.813,821.1334635544774,36.80656899243979,38.78098485223484,1102.4925240428524,6.03865714492099,5.528695324574073,0.7447336404832202,0.03290853708125463,0.03491952589389502
C2H2,13.7,-105.95669562358813,17.272979942427014,17.35485424795033,1223.293279648754,7.181924162725863,7.286872528652339,<-0.035542418178938835,-,-
HCN,14.0,-105.32865359757974,17.777361033796538,19.040958822507477,1235.1396804288656,8.274062916152843,8.273734349288361,<-0.033781152345772815,-,-
PAH,5.27,429.06708211488944,39.64881305381323,40.27164652708302,390.9240088297722,16.911834737054733,16.029506896225143,1.0981098262899787,0.15042796794832136,0.14265310011347587
PAH,5.7,947.3547719227545,36.176295818563176,35.109150839767835,485.5294782651283,12.05216332277871,12.998436720647305,1.9522291611320637,0.12298658975392529,0.11448167935372178
PAH,6.22,2128.044364003442,36.26087149590148,35.00432465951144,597.2552478496095,13.432200280342158,14.643073515343644,3.5635674880992023,0.12811723042988854,0.11595559761940022
PAH 6.2 Complex,6.2,2128.044364003442,36.26087149590148,35.00432465951144,597.2552478496095,13.432200280342158,14.643073515343644,3.5635674880992023,0.12811723042988854,0.11595559761940022
PAH,6.69,827.9109793539851,51.92202555409381,52.762047953220645,681.7776436125928,16.666016662731522,18.357727058834257,1.2150551899978024,0.10148109732279353,0.09582993917916816
PAH,7.42,4058.2899395046747,249.79362000110677,238.18906946706375,771.3166638156744,18.107403486703106,18.862564709833805,5.258370297880623,0.4263366722059274,0.38731192815751125
PAH,7.6,2993.1464251684224,155.96656181926164,155.42207810223317,793.0268992740273,18.23985269906632,18.731893477082963,3.7792061786014446,0.2281895043005444,0.2322227705130535
PAH,7.85,7828.545239628353,154.93291170585326,191.54846679026286,781.3518083842969,17.40594974994019,17.601758370561583,10.004244357413743,0.3671216739099634,0.36260343980514165
PAH7.7Complex,7.7,14859.949340148149,279.12505530473936,276.6289061359803,796.6743978328101,17.997466839062668,18.395534144576686,18.65494432693427,0.7627531577780893,0.706535275711218
