Name,Rest Wavelength (micron),Strength (10^-17 W/m^2),S_err+,S_err-,Continuum (10^-17 W/m^2/um),C_err+,C_err-,Eqw (micron),E_err+,E_err-
H2 S(7),5.511,0.010880335339144521,0.008671055891992794,0.006791575699816028,0.24102312341711296,0.016638406787342297,0.01581546833504463,<0.19805730510931455,-,-
H2 S(6),6.109,0.03980003185615587,0.02428174775145482,0.031772017935209305,0.3285356381452068,0.01989423754820513,0.022159300478278576,<0.34364675473122863,-,-
H2 S(5),6.909,0.027998348460725617,0.014539326979015485,0.013384041953735456,0.3798469501541784,0.0242046157952589,0.028096494452233833,<0.3154363675476717,-,-
Ar II,6.985,0.17518344572745748,0.016344890075717322,0.016943163842734532,0.3826197958057862,0.024828783117017528,0.028294430103643742,0.4591769825456606,0.05646669131289067,0.053804177527568164
NeVI,7.6524,0.10302751364475535,0.10455000981982876,0.07268079892117989,0.3938722033837062,0.02641525183629445,0.029717780587641573,<1.1175588766077684,-,-
H2 S(4),8.026,0.02611424973099004,0.025482699712634956,0.017630401532270933,0.36314190066511076,0.025271476654527725,0.027815316733951823,<0.36082039126789167,-,-
AR III,8.991,0.006501730933185877,0.007814413936536771,0.004591006464853,0.17238663477685373,0.011075055518139587,0.010659955002094157,<0.27652971919437075,-,-
H2 S(3),9.665,0.0894733978670652,0.010728534994206215,0.010068502921342537,0.141620602337628,0.006955811863535055,0.0058465382736759275,0.6300163558025078,0.07597628889440433,0.06836856485302323
S IV,10.511,0.04857674185776442,0.012886950252522997,0.013707426780176585,0.1351388270236347,0.0070686778897280644,0.006012885253196765,0.358681663941628,0.09796732707744743,0.1025490933129441
H2 S(2),12.278,0.05682554892208229,0.013877920708147362,0.013565710758954679,0.21088460910985501,0.011058696678201585,0.011864652332518322,0.26902242472580556,0.0690109194924145,0.06516908598484672
Ne II,12.813,0.8798099173257411,0.042489033996498726,0.06672041341023749,0.2490878989353254,0.009599505266787434,0.009395348983952723,3.5150001873580887,0.2189859554824487,0.2647682456245666
C2H2,13.7,-0.016645197018214215,0.0075831522654723,0.00852233480777407,0.23540730270836047,0.006973701364559909,0.007567175985539937,<-0.0005575799025238912,-,-
HCN,14.0,-0.014620445749874193,0.006640695863486361,0.007457864324656942,0.22867182268435865,0.007498950560416995,0.008093908779971931,<-0.0005368147385010248,-,-
PAH,5.27,0.4626410571180891,0.058477747794094315,0.0535313731912217,0.18905419595311285,0.017411731188866436,0.016667695548332112,2.4517197545488285,0.515789230305308,0.42331709923492333
PAH,5.7,0.5110221043984955,0.0426936065471748,0.044423887575541665,0.26967363657717125,0.016693245645549415,0.01639894362863631,1.8976247213711468,0.26291849897331554,0.24642289977628407
